calendar_year,event_id,tour
2025,10857,adt
2025,2025313,cha
2025,6,pta
2025,21,pga
2025,11,kft
2025,10855,jpn
2025,2025117,euro
2025,10856,asa
2025,10858,chn
2025,520,champ
2025,10848,alp
2025,10860,bet
2025,10850,cpt
2025,10849,ngl
2025,10851,tpt
2025,558,champ
2025,10843,chn
2025,33,pga
2025,10844,afr
2025,10842,atgt
2025,10841,kor
2025,10840,jpn
2025,100,kft
2025,10835,alp
2025,10836,ngl
2025,10845,mex
2025,10838,tpt
2025,10837,cpt
2025,10829,asa
2025,480,pga
2025,1,pta
2025,10831,tpga
2025,10832,afr
2025,2025312,cha
2025,553,pga
2025,2025140,euro
2025,10824,ngl
2025,10822,alp
2025,10828,atvt
2025,10823,pgt
2025,10833,bet
2025,10818,asa
2025,19,pga
2025,45,liv
2025,171,kft
2025,10817,jpn
2025,615,champ
2025,10819,atgt
2025,4,pta
2025,10812,ngl
2025,10813,cpt
2025,10811,pgt
2025,2025139,euro
2025,10805,jpn
2025,10810,kor
2025,5,pta
2025,44,liv
2025,15,champ
2025,137,kft
2025,18,pga
2025,5,sam
2025,10809,pgti
2025,10800,cpt
2025,10806,atvt
2025,10808,pgti
2025,10799,ngl
2025,10796,kor
2025,2025311,cha
2025,522,pga
2025,12,pga
2025,2025115,euro
2025,10798,ngl
2025,129,kft
2025,10795,pgti
2025,10792,ngl
2025,10791,pgt
2025,2025309,cha
2025,14,pga
2025,10786,jpn
2025,10787,pgti
2025,10788,mex
2025,10784,pgt
2025,128,kft
2025,10782,atgt
2025,43,liv
2025,2,pta
2025,41,pga
2025,59,champ
2025,2,sam
2025,10780,atvt
2025,10781,pgti
2025,10776,cpt
2025,2025113,euro
2025,3,sam
2025,10771,anz
2025,20,pga
2025,3,pta
2025,10772,afr
2025,56,champ
2025,10775,tpga
2025,10767,pgt
2025,10768,cpt
2025,10766,alp
2025,10764,afr
2025,2025308,cha
2025,10761,asa
2025,573,champ
2025,475,pga
2025,10763,anz
2025,2025112,euro
2025,10774,mex
2025,10757,alp
2025,10762,adt
2025,10759,cpt
2025,10758,pgt
2025,11,pga
2025,2025307,cha
2025,42,liv
2025,10754,bet
2025,10752,pgt
2025,9,pga
2025,41,liv
2025,107,kft
2025,10749,anz
2025,2025111,euro
2025,483,pga
2025,18,champ
2025,10748,pgti
2025,10750,ngl
2025,10744,alp
2025,10740,anz
2025,170,kft
2025,2025110,euro
2025,10,pga
2025,10736,mex
2025,10742,ngl
2025,10734,pgt
2025,10735,pgti
2025,10733,alp
2025,10741,ngl
2025,10732,pgt
2025,10726,anz
2025,2025109,euro
2025,540,pga
2025,10731,adt
2025,10723,alp
2025,10725,pgti
2025,10730,ngl
2025,10728,bet
2025,10721,atgt
2025,40,liv
2025,552,champ
2025,7,pga
2025,2025305,cha
2025,10729,ngl
2025,10720,pgti
2025,10717,anz
2025,104,kft
2025,3,pga
2025,2025302,cha
2025,2025142,euro
2025,39,liv
2025,624,champ
2025,2025108,euro
2025,10711,anz
2025,5,pga
2025,10710,asa
2025,84,kft
2025,2025301,cha
2025,10704,anz
2025,2025300,cha
2025,2025107,euro
2025,10702,asa
2025,10703,adt
2025,10712,mex
2025,4,pga
2025,10705,bet
2025,125,kft
2025,2,pga
2025,10696,afr
2025,2025106,euro
2025,524,champ
2025,10697,bet
2025,124,kft
2025,6,pga
2025,10695,anz
2025,16,pga
2024,2025104,euro
2024,10689,pgti
2024,2025103,euro
2024,88,pga
2024,10684,chn
2024,10687,mex
2024,38,liv
2024,10685,pgti
2024,10682,anz
2024,2025102,euro
2024,478,pga
2024,10681,asa
2024,2025101,euro
2024,10674,chn
2024,10673,jpn
2024,10676,adt
2024,10675,asa
2024,10678,bet
2024,493,pga
2024,2025100,euro
2024,10666,chn
2024,10665,jpn
2024,10671,afr
2024,10667,asa
2024,10668,adt
2024,10669,pgti
2024,10672,bet
2024,10663,afr
2024,528,pga
2024,10658,jpn
2024,10659,asa
2024,10662,anz
2024,2024142,euro
2024,10661,atgt
2024,10660,pgti
2024,2024714,euro
2024,10654,kor
2024,2024141,euro
2024,457,pga
2024,10649,jpn
2024,10650,chn
2024,539,champ
2024,10653,atgt
2024,10652,pgti
2024,10651,adt
2024,10655,bet
2024,10640,chn
2024,2024324,cha
2024,10643,anz
2024,10642,kor
2024,10641,asa
2024,10645,mex
2024,527,pga
2024,10636,anz
2024,2024118,euro
2024,10634,asa
2024,9,champ
2024,10638,mex
2024,10635,pgti
2024,10637,bet
2024,47,pga
2024,10627,asa
2024,10631,afr
2024,10629,kor
2024,623,champ
2024,2024329,cha
2024,2024139,euro
2024,10628,pgti
2024,10630,anz
2024,10624,ngl
2024,10623,alp
2024,10626,atvt
2024,10618,anz
2024,609,champ
2024,2024138,euro
2024,10614,jpn
2024,10617,kor
2024,554,pga
2024,10616,asa
2024,2024328,cha
2024,10619,afr
2024,10611,alp
2024,10620,ngl
2024,10612,tpt
2024,10603,jpn
2024,54,pga
2024,10605,asa
2024,2024137,euro
2024,45,kft
2024,44,champ
2024,10607,kor
2024,10606,pgti
2024,2024313,cha
2024,10604,atvt
2024,10608,afr
2024,10599,pgt
2024,10590,jpn
2024,2024334,cha
2024,10595,pgti
2024,2024136,euro
2024,10592,chn
2024,10594,asa
2024,10593,adt
2024,10587,ngl
2024,10591,atvt
2024,10596,bet
2024,10588,cpt
2024,10589,tpt
2024,10582,jpn
2024,10583,afr
2024,2024333,cha
2024,616,champ
2024,37,liv
2024,94,kft
2024,2024135,euro
2024,10580,ngl
2024,10584,tpt
2024,10575,atgt
2024,23,champ
2024,10573,jpn
2024,2024327,cha
2024,10576,kor
2024,36,liv
2024,464,pga
2024,2024134,euro
2024,120,kft
2024,10568,alp
2024,10574,adt
2024,10569,ngl
2024,10570,cpt
2024,2024133,euro
2024,16,pta
2024,10563,atgt
2024,625,champ
2024,2024321,cha
2024,10560,asa
2024,10565,mex
2024,10555,alp
2024,10561,atvt
2024,10558,tpt
2024,10557,cpt
2024,60,pga
2024,10547,jpn
2024,15,pta
2024,2024132,euro
2024,10551,kor
2024,10549,asa
2024,2024336,cha
2024,10548,atvt
2024,10550,adt
2024,10544,ngl
2024,10552,afr
2024,10543,pgt
2024,2024145,euro
2024,2024320,cha
2024,27,kft
2024,14,pta
2024,28,pga
2024,22,champ
2024,10536,jpn
2024,10530,ngl
2024,10537,adt
2024,10529,pgt
2024,10538,pgti
2024,10539,afr
2024,10531,cpt
2024,10532,tpt
2024,10525,anz
2024,13,pta
2024,17,champ
2024,2024358,cha
2024,10524,atgt
2024,2024144,euro
2024,10526,afr
2024,27,pga
2024,168,kft
2024,35,liv
2024,10523,pgti
2024,10517,pgt
2024,10519,cpt
2024,10518,ngl
2024,10510,chn
2024,123,kft
2024,13,pga
2024,10509,jpn
2024,619,champ
2024,10513,atgt
2024,10512,pgti
2024,10511,asa
2024,2024319,cha
2024,10505,ngl
2024,10540,mex
2024,10506,cpt
2024,10514,bet
2024,26,kft
2024,519,pga
2024,2024318,cha
2024,12,pta
2024,10503,afr
2024,10498,ngl
2024,10499,cpt
2024,10500,tpt
2024,131,kft
2024,2024317,cha
2024,34,liv
2024,10494,atgt
2024,525,pga
2024,614,champ
2024,11,pta
2024,10495,afr
2024,10493,atvt
2024,10489,ngl
2024,10488,pgt
2024,472,pga
2024,2024326,cha
2024,22,kft
2024,10,pta
2024,100,pga
2024,10484,cpt
2024,10486,bet
2024,10485,tpt
2024,33,liv
2024,130,kft
2024,9,pta
2024,541,pga
2024,10477,kor
2024,507,champ
2024,10476,jpn
2024,518,pga
2024,10470,alp
2024,10471,ngl
2024,10478,tpt
2024,10472,cpt
2024,30,pga
2024,10468,asa
2024,2024126,euro
2024,10467,jpn
2024,10463,pgt
2024,10462,alp
2024,10464,ngl
2024,10465,tpt
2024,8,pta
2024,2024125,euro
2024,122,kft
2024,10459,kor
2024,2024332,cha
2024,512,champ
2024,524,pga
2024,10452,alp
2024,10454,ngl
2024,10455,tpt
2024,10460,bet
2024,10453,pgt
2024,2024124,euro
2024,10448,asa
2024,7,pta
2024,34,pga
2024,166,kft
2024,8,champ
2024,32,liv
2024,10447,jpn
2024,2024331,cha
2024,10449,adt
2024,10442,ngl
2024,10443,cpt
2024,10437,atgt
2024,10427,alp
2024,10435,chn
2024,23,kft
2024,10438,jpn
2024,10439,afr
2024,2024330,cha
2024,26,pga
2024,10434,atvt
2024,10429,ngl
2024,10436,adt
2024,10431,tpt
2024,10428,pgt
2024,10430,cpt
2024,2024122,euro
2024,23,pga
2024,622,champ
2024,31,liv
2024,10421,jpn
2024,37,kft
2024,10423,kor
2024,2024325,cha
2024,10424,afr
2024,10422,atvt
2024,10417,ngl
2024,10418,cpt
2024,10416,pgt
2024,10409,chn
2024,32,pga
2024,2024121,euro
2024,608,champ
2024,48,kft
2024,10408,atvt
2024,10404,ngl
2024,10403,alp
2024,10405,cpt
2024,10413,tpt
2024,2024312,cha
2024,21,pga
2024,10399,jpn
2024,11,kft
2024,2024120,euro
2024,10400,kor
2024,10401,afr
2024,520,champ
2024,10394,alp
2024,10396,cpt
2024,10395,ngl
2024,10391,kor
2024,10390,jpn
2024,100,kft
2024,33,pga
2024,6,pta
2024,10385,alp
2024,10386,ngl
2024,10411,tpt
2024,10387,cpt
2024,10377,jpn
2024,10378,adt
2024,10381,mex
2024,558,champ
2024,2024311,cha
2024,553,pga
2024,480,pga
2024,10380,afr
2024,10374,alp
2024,10375,pgt
2024,10382,cpt
2024,10368,jpn
2024,2024116,euro
2024,10370,asa
2024,5,sam
2024,30,liv
2024,19,pga
2024,10371,adt
2024,615,champ
2024,5,pta
2024,10365,ngl
2024,10369,atvt
2024,10372,cpt
2024,137,kft
2024,10363,kor
2024,29,liv
2024,2024310,cha
2024,4,pta
2024,4,sam
2024,15,champ
2024,2024117,euro
2024,10356,alp
2024,10362,atvt
2024,10358,ngl
2024,10357,pgt
2024,522,pga
2024,10349,asa
2024,2,pta
2024,129,kft
2024,2024309,cha
2024,2,sam
2024,12,pga
2024,10351,kor
2024,53,champ
2024,10350,pgti
2024,10352,bet
2024,10345,ngl
2024,10340,kor
2024,14,pga
2024,10343,afr
2024,10338,chn
2024,10336,ngl
2024,10339,pgti
2024,10342,bet
2024,10337,ngl
2024,128,kft
2024,41,pga
2024,28,liv
2024,10332,afr
2024,10333,atgt
2024,10334,mex
2024,10331,pgti
2024,10330,atvt
2024,20,pga
2024,17,pta
2024,2024114,euro
2024,17,sam
2024,10327,jpn
2024,56,champ
2024,2024113,euro
2024,573,champ
2024,10323,afr
2024,1,pta
2024,2024308,cha
2024,475,pga
2024,1,sam
2024,10320,pgt
2024,10316,anz
2024,11,pga
2024,2024307,cha
2024,10314,asa
2024,10315,adt
2024,10311,pgt
2024,10317,bet
2024,107,kft
