event_id,event_completed_date,dg_id,fin_text,event_round,birdies,bogies,course_par,doubles_or_worse,driving_accuracy,driving_distance,eagles_or_better,gir,great_shots,pars,poor_shots,prox_fw,prox_rgh,score,scrambling,sg_app,sg_arg,sg_ott,sg_putt,sg_t2g,sg_total,start_hole,teetime
10,2025-03-02,28469,1,1,7.0,1.0,71.0,0.0,0.429,285.1,0.0,0.667,6.0,10.0,6.0,22.189,49.871,65.0,0.778,1.332,1.722,0.138,0.432,3.192,3.625,10.0,8:02am
10,2025-03-02,28469,1,2,5.0,2.0,71.0,2.0,0.643,283.7,0.0,0.778,5.0,9.0,5.0,27.442,48.344,72.0,0.5,-1.149,-0.951,0.535,-0.955,-1.565,-2.521,1.0,1:02pm
10,2025-03-02,28469,1,3,6.0,1.0,71.0,0.0,0.857,283.8,1.0,0.778,8.0,10.0,0.0,30.761,42.929,64.0,0.833,0.522,0.029,0.87,3.477,1.421,4.897,1.0,8:35am
10,2025-03-02,28469,1,4,7.0,0.0,71.0,0.0,0.643,288.9,0.0,0.889,7.0,11.0,0.0,27.479,32.08,64.0,1.0,1.968,0.128,1.417,3.002,3.513,6.515,1.0,1:20pm
10,2025-03-02,29433,T2,1,3.0,2.0,71.0,0.0,0.571,288.0,1.0,0.722,2.0,12.0,2.0,27.51,50.233,68.0,0.5,-0.195,-0.592,0.929,0.482,0.142,0.625,1.0,12:07pm
10,2025-03-02,29433,T2,2,5.0,2.0,71.0,0.0,0.429,281.2,0.0,0.556,4.0,11.0,1.0,34.329,42.501,68.0,0.7,-0.021,0.061,0.061,1.379,0.101,1.479,10.0,7:07am
10,2025-03-02,29433,T2,3,5.0,1.0,71.0,0.0,0.286,286.9,0.0,0.778,5.0,12.0,2.0,27.714,26.543,67.0,1.0,1.438,0.573,-0.782,0.669,1.229,1.897,1.0,10:55am
10,2025-03-02,29433,T2,4,8.0,1.0,71.0,0.0,0.714,285.7,0.0,0.667,6.0,9.0,2.0,30.905,39.73,64.0,0.75,0.825,0.317,0.871,4.502,2.013,6.515,1.0,11:30am
10,2025-03-02,17536,T2,1,7.0,0.0,71.0,0.0,0.429,282.8,0.0,0.778,5.0,11.0,3.0,18.225,40.305,64.0,1.0,1.658,1.43,-0.271,1.807,2.817,4.625,1.0,1:13pm
10,2025-03-02,17536,T2,2,4.0,1.0,71.0,1.0,0.571,283.9,0.0,0.889,2.0,12.0,1.0,23.743,28.976,70.0,0.667,0.099,0.145,0.862,-1.626,1.106,-0.521,10.0,8:13am
10,2025-03-02,17536,T2,3,5.0,1.0,71.0,0.0,0.571,294.3,0.0,0.722,3.0,12.0,2.0,33.138,53.66,67.0,0.571,-1.636,0.616,0.312,2.606,-0.708,1.897,1.0,12:20pm
10,2025-03-02,17536,T2,4,5.0,0.0,71.0,0.0,0.643,291.8,0.0,0.833,3.0,13.0,1.0,35.199,38.228,66.0,1.0,1.345,1.096,0.911,1.163,3.352,4.515,1.0,12:55pm
10,2025-03-02,24968,T4,1,2.0,1.0,71.0,0.0,0.643,274.0,1.0,0.833,2.0,14.0,2.0,23.738,45.156,68.0,0.5,1.16,-0.479,0.084,-0.141,0.765,0.625,1.0,1:02pm
10,2025-03-02,24968,T4,2,6.0,0.0,71.0,0.0,0.857,282.0,0.0,0.889,4.0,12.0,0.0,33.022,,65.0,1.0,0.89,1.328,1.446,0.816,3.664,4.479,10.0,8:02am
10,2025-03-02,24968,T4,3,6.0,1.0,71.0,0.0,0.5,289.3,0.0,0.778,4.0,11.0,2.0,33.428,38.785,66.0,1.0,1.731,0.997,-1.077,1.247,1.651,2.897,1.0,1:15pm
10,2025-03-02,24968,T4,4,6.0,4.0,71.0,0.0,0.786,273.6,0.0,0.611,4.0,8.0,5.0,39.266,82.507,69.0,0.556,-0.646,-0.83,-0.31,3.301,-1.786,1.515,1.0,1:40pm
10,2025-03-02,23505,T4,1,4.0,2.0,71.0,0.0,0.571,280.0,0.0,0.778,1.0,12.0,2.0,21.991,78.108,69.0,0.714,0.669,-0.311,0.612,-1.346,0.97,-0.375,10.0,1:46pm
10,2025-03-02,23505,T4,2,4.0,1.0,71.0,0.0,0.786,278.2,0.0,0.833,1.0,13.0,2.0,33.739,,68.0,0.4,0.05,0.188,1.551,-0.309,1.789,1.479,1.0,8:46am
10,2025-03-02,23505,T4,3,7.0,2.0,71.0,0.0,0.786,282.6,1.0,0.778,5.0,8.0,1.0,26.333,41.898,64.0,0.75,2.578,-0.548,-0.345,3.213,1.685,4.897,1.0,9:15am
10,2025-03-02,23505,T4,4,5.0,1.0,71.0,0.0,0.357,283.6,0.0,0.778,3.0,12.0,0.0,34.037,62.937,67.0,0.857,1.068,1.476,-0.143,1.114,2.401,3.515,1.0,1:10pm
10,2025-03-02,17543,T6,1,6.0,0.0,71.0,0.0,0.643,286.1,0.0,0.778,2.0,12.0,1.0,32.412,24.395,65.0,1.0,1.179,-0.099,1.067,1.477,2.147,3.625,10.0,6:56am
10,2025-03-02,17543,T6,2,5.0,0.0,71.0,0.0,0.714,288.9,0.0,0.833,3.0,13.0,2.0,26.27,31.965,66.0,1.0,1.136,0.536,2.037,-0.229,3.709,3.479,1.0,11:56am
10,2025-03-02,17543,T6,3,5.0,1.0,71.0,0.0,0.5,287.7,0.0,0.778,3.0,12.0,1.0,36.09,25.826,67.0,0.833,0.921,0.516,-0.404,0.865,1.033,1.897,1.0,1:45pm
10,2025-03-02,17543,T6,4,2.0,2.0,71.0,0.0,0.5,290.8,0.0,0.611,1.0,14.0,3.0,44.651,30.0,71.0,0.714,-0.915,1.177,0.228,-0.975,0.49,-0.485,1.0,1:50pm
10,2025-03-02,14578,T6,1,8.0,0.0,71.0,0.0,0.714,284.0,0.0,0.944,4.0,10.0,1.0,22.381,24.125,63.0,0.75,1.234,0.402,1.128,2.86,2.764,5.625,10.0,7:40am
10,2025-03-02,14578,T6,2,4.0,3.0,71.0,0.0,0.429,276.2,0.0,0.611,4.0,11.0,4.0,35.315,43.827,70.0,0.625,0.121,1.667,-0.143,-2.165,1.645,-0.521,1.0,12:40pm
10,2025-03-02,14578,T6,3,6.0,1.0,71.0,0.0,0.714,283.5,0.0,0.778,3.0,11.0,1.0,37.073,41.728,66.0,0.857,0.355,0.162,0.661,1.72,1.178,2.897,1.0,12:50pm
10,2025-03-02,14578,T6,4,4.0,3.0,71.0,0.0,0.857,283.2,0.0,0.722,4.0,11.0,1.0,31.451,54.832,70.0,0.625,0.001,-1.813,1.496,0.831,-0.316,0.515,1.0,1:40pm
10,2025-03-02,19396,T6,1,12.0,0.0,71.0,0.0,0.857,295.0,0.0,0.889,10.0,6.0,2.0,21.618,22.762,59.0,1.0,3.282,1.416,2.341,2.585,7.039,9.625,1.0,7:18am
10,2025-03-02,19396,T6,2,4.0,1.0,71.0,1.0,0.571,285.6,0.0,0.667,5.0,12.0,5.0,39.645,42.662,70.0,0.75,-1.429,1.654,-0.734,-0.011,-0.509,-0.521,10.0,12:18pm
10,2025-03-02,19396,T6,3,5.0,2.0,71.0,0.0,0.786,292.9,0.0,0.667,4.0,11.0,4.0,33.216,28.657,68.0,0.778,-0.409,-1.494,1.023,1.778,-0.88,0.897,1.0,1:55pm
10,2025-03-02,19396,T6,4,2.0,0.0,71.0,1.0,0.5,285.9,0.0,0.833,0.0,15.0,3.0,29.952,96.505,72.0,0.5,0.307,-1.339,0.78,-1.233,-0.252,-1.485,1.0,1:50pm
10,2025-03-02,17550,T9,1,4.0,1.0,71.0,0.0,0.643,290.6,0.0,0.722,3.0,13.0,3.0,30.93,114.201,68.0,0.8,0.61,-0.491,1.666,-1.161,1.785,0.625,1.0,7:40am
10,2025-03-02,17550,T9,2,5.0,1.0,71.0,0.0,0.714,284.4,0.0,0.833,6.0,12.0,1.0,27.396,73.33,67.0,0.833,0.002,1.406,1.012,0.06,2.42,2.479,10.0,12:40pm
10,2025-03-02,17550,T9,3,5.0,4.0,71.0,0.0,0.571,291.9,0.0,0.611,1.0,9.0,5.0,37.177,31.763,70.0,0.667,-0.475,-1.235,0.686,-0.078,-1.024,-1.103,1.0,11:15am
10,2025-03-02,17550,T9,4,7.0,3.0,71.0,0.0,0.571,289.0,1.0,0.722,6.0,7.0,3.0,26.132,53.009,65.0,0.625,1.211,0.601,0.705,2.998,2.517,5.515,1.0,9:45am
10,2025-03-02,14636,T9,1,7.0,1.0,71.0,0.0,0.571,289.5,0.0,0.833,6.0,10.0,1.0,31.557,24.128,65.0,0.6,1.1,-0.288,0.809,2.003,1.621,3.625,10.0,7:40am
10,2025-03-02,14636,T9,2,6.0,2.0,71.0,1.0,0.643,285.4,0.0,0.722,3.0,9.0,5.0,29.7,45.336,70.0,0.667,-2.197,0.626,0.869,0.182,-0.702,-0.521,1.0,12:40pm
10,2025-03-02,14636,T9,3,4.0,0.0,71.0,0.0,0.643,289.2,0.0,0.833,3.0,14.0,3.0,21.406,159.628,67.0,0.75,0.995,0.089,0.324,0.49,1.408,1.897,1.0,11:25am
10,2025-03-02,14636,T9,4,6.0,3.0,71.0,0.0,0.643,290.1,0.0,0.722,4.0,9.0,2.0,37.842,44.93,68.0,0.429,-0.866,-0.05,1.054,2.377,0.138,2.515,1.0,12:25pm
10,2025-03-02,16841,T11,1,3.0,1.0,71.0,1.0,0.5,294.1,0.0,0.722,4.0,13.0,5.0,27.997,50.289,71.0,0.429,-0.203,-0.712,-1.529,0.068,-2.444,-2.375,1.0,12:40pm
10,2025-03-02,16841,T11,2,6.0,0.0,71.0,0.0,0.714,290.8,0.0,0.778,6.0,12.0,0.0,34.203,28.181,65.0,0.833,1.715,-0.052,1.03,1.787,2.693,4.479,10.0,7:40am
10,2025-03-02,16841,T11,3,3.0,2.0,71.0,0.0,0.5,296.7,1.0,0.722,3.0,12.0,2.0,34.01,47.444,68.0,0.75,-1.969,-0.011,0.964,1.914,-1.016,0.897,1.0,10:40am
10,2025-03-02,16841,T11,4,6.0,2.0,71.0,0.0,0.5,297.0,0.0,0.722,3.0,10.0,3.0,37.361,33.722,67.0,1.0,1.514,1.991,0.035,-0.025,3.54,3.515,1.0,10:25am
10,2025-03-02,23465,T11,1,7.0,3.0,71.0,0.0,0.571,283.0,0.0,0.833,6.0,8.0,2.0,28.27,59.549,67.0,0.75,1.091,0.545,0.092,-0.104,1.728,1.625,10.0,7:07am
10,2025-03-02,23465,T11,2,3.0,2.0,71.0,1.0,0.429,288.0,1.0,0.611,5.0,11.0,3.0,34.069,60.858,70.0,0.667,-0.583,-0.533,-1.3,1.896,-2.416,-0.521,1.0,12:07pm
10,2025-03-02,23465,T11,3,3.0,2.0,71.0,0.0,0.714,287.6,1.0,0.611,4.0,12.0,2.0,26.343,38.712,68.0,0.714,1.703,-0.46,0.111,-0.456,1.354,0.897,1.0,8:55am
10,2025-03-02,23465,T11,4,7.0,2.0,71.0,0.0,0.571,291.7,0.0,0.722,5.0,9.0,3.0,38.896,59.041,66.0,0.857,1.197,2.377,0.151,0.79,3.725,4.515,1.0,10:05am
10,2025-03-02,17511,T11,1,4.0,0.0,71.0,0.0,0.571,282.0,0.0,0.778,3.0,14.0,4.0,22.152,57.536,67.0,1.0,0.885,0.47,0.524,-0.255,1.879,1.625,10.0,7:29am
