100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,dg_id,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,player_name,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
0.879,0.092,0.0,0.974,18.665,0.078,609.0,0.761,0.074,0.0,0.963,27.171,0.082,900.0,0.924,0.142,0.0,0.974,13.727,0.124,190.0,18417,0.412,0.064,0.0,0.964,52.684,0.078,249.0,0.509,0.079,0.0,0.968,41.939,0.069,467.0,"Scheffler, Scottie",0.64,0.066,0.0,0.964,33.971,0.073,274.0
0.8,0.069,1.0,0.96,25.315,-0.029,101.0,0.753,0.094,0.0,0.956,29.329,0.082,159.0,0.874,0.028,0.0,0.972,16.933,0.025,36.0,24304,0.338,0.031,0.0,0.985,65.875,0.014,65.0,0.467,0.024,0.0,0.951,51.03,-0.038,82.0,"Vilips, Karl",0.517,0.046,0.0,0.938,39.987,-0.004,65.0
0.855,0.074,0.0,0.954,20.424,0.046,679.0,0.737,0.078,0.0,0.971,27.696,0.067,1032.0,0.866,0.098,0.0,0.943,16.657,0.017,194.0,17511,0.326,0.036,0.0,0.954,63.146,-0.017,280.0,0.508,0.06,0.0,0.973,45.077,0.048,521.0,"Straka, Sepp",0.527,0.054,0.0,0.919,40.135,-0.015,221.0
,,,,,,,0.718,0.091,0.0,0.986,28.235,0.064,143.0,0.796,0.065,0.0,0.935,18.867,-0.029,31.0,22736,0.336,0.042,1.0,0.938,67.514,-0.039,48.0,0.394,0.034,1.0,0.948,51.155,-0.065,58.0,"Rosenmueller, Thomas",0.491,0.049,0.0,0.902,45.453,-0.067,41.0
0.792,0.039,1.0,0.931,21.638,-0.023,102.0,0.789,0.062,0.0,0.963,24.811,0.063,160.0,0.855,0.075,0.0,0.925,17.002,-0.015,40.0,18079,0.445,0.105,0.0,0.982,53.644,0.119,57.0,0.503,0.073,0.0,0.945,47.943,0.021,109.0,"Niemann, Joaquin",0.694,0.179,0.0,0.974,30.497,0.126,39.0
0.848,0.082,0.0,0.952,20.644,0.045,706.0,0.762,0.063,0.0,0.972,28.376,0.059,957.0,0.863,0.079,0.0,0.949,17.129,0.014,214.0,17576,0.377,0.061,0.0,0.977,58.823,0.036,263.0,0.507,0.056,0.0,0.972,45.921,0.045,503.0,"Conners, Corey",0.565,0.045,0.0,0.955,40.773,-0.013,269.0
0.815,0.067,0.0,0.944,21.865,0.009,539.0,0.744,0.092,0.0,0.959,28.348,0.059,785.0,0.882,0.097,0.0,0.94,17.653,0.013,134.0,19895,0.386,0.07,0.0,0.972,54.051,0.048,284.0,0.552,0.09,0.0,0.973,40.691,0.096,411.0,"Schauffele, Xander",0.591,0.067,0.0,0.961,37.215,0.034,255.0
0.796,0.092,0.0,0.924,23.514,0.012,131.0,0.706,0.043,0.0,0.961,28.237,0.055,257.0,0.939,0.103,0.0,0.985,16.287,0.066,68.0,18628,0.416,0.076,0.0,0.975,52.956,0.058,79.0,0.45,0.038,0.0,0.992,48.594,0.012,130.0,"Campbell, Brian",0.636,0.065,0.0,0.978,35.821,0.033,46.0
0.853,0.096,0.0,0.959,19.682,0.074,729.0,0.7,0.073,0.0,0.954,28.805,0.05,1048.0,0.888,0.096,0.0,0.968,15.921,0.039,218.0,7399,0.331,0.076,0.0,0.952,66.781,0.021,251.0,0.477,0.048,0.0,0.964,46.431,-0.001,478.0,"Glover, Lucas",0.588,0.064,0.0,0.98,38.73,0.017,203.0
0.824,0.079,0.0,0.948,20.026,0.043,580.0,0.733,0.069,0.0,0.97,27.922,0.048,777.0,0.826,0.132,0.0,0.928,14.478,0.084,167.0,13562,0.342,0.052,0.0,0.976,57.682,0.029,286.0,0.498,0.072,0.0,0.955,42.173,0.04,418.0,"Matsuyama, Hideki",0.54,0.052,0.0,0.937,37.948,-0.004,286.0
