amateur,country,country_code,dg_id,name
0,United States,USA,32153,"Abbate, Ryan"
0,England,ENG,14794,"Abbott, Jamie"
0,Sweden,SWE,23950,"Aberg, Ludvig"
1,Egypt,EGY,8863,"Abou El Ela, Issa"
0,Portugal,POR,24555,"Abreu, Alexandre"
0,Turkey,TUR,21644,"Acikalin, Leon"
0,United States,USA,27455,"Ackerman, Derek"
0,United States,USA,7612,"Adamonis, Brad"
0,United States,USA,10049,"Adams III, Frank"
0,United States,USA,12088,"Adams, Blake"
0,Germany,GER,20942,"Adank, Niklas"
0,Sweden,SWE,12234,"Adell, Gustav"
0,United States,USA,30736,"Adrounie, Tom"
0,South Africa,RSA,24573,"Africa, Keelan"
0,Sweden,SWE,20400,"Agren, Jonathan"
0,Colombia,COL,25686,"Aguado, Camilo"
0,Chile,CHI,8135,"Aguilar, Felipe"
0,Spain,ESP,19557,"Aguilar, Mario Galiano"
0,India,IND,22897,"Ahlawat, Veer"
0,South Africa,RSA,11852,"Ahlers, Jaco"
0,India,IND,18056,"Ahmed, Syed Saqib"
0,Finland,FIN,11897,"Ahokas, Antti"
0,South Africa,RSA,7679,"Aiken, Thomas"
1,United States,USA,30618,"Akana, Blaze"
0,Sweden,SWE,11530,"Akesson, Bjorn"
1,United States,USA,32652,"Akina, Kihei"
0,Japan,JPN,13528,"Akiyoshi, Shota"
0,Uganda,UGA,8749,"Akope, Deo"
0,Japan,JPN,15726,"Akutsu, Mikiya"
1,Qatar,QAT,17056,"Al Kaabi, Saleh"
0,Saudi Arabia,KSA,23074,"Al Kurdi, Shergo"
1,Saudi Arabia,KSA,22605,"Al Mansour, Abdulrahman"
0,Saudi Arabia,KSA,11985,"Al Mulla, Othman"
0,United Arab Emirates,UAE,14407,"Al Musharrekh, Ahmed"
0,United Arab Emirates,UAE,22704,"Al Musharrekh, Hassin"
1,Oman,OMA,18024,"Al Rumhy, Azzan"
1,Qatar,QAT,15960,"Al Shahrani, Abdulrahman Abdulla"
0,Qatar,QAT,22829,"Al Shahrani, Ali"
0,Saudi Arabia,KSA,22606,"Al Sharif, Saud"
1,Bahrain,BRN,30586,"Al Zayed, Ahmed"
0,United States,USA,29601,"Albano, Jr., Anthony"
0,Germany,GER,25305,"Albers, Anton"
0,South Africa,RSA,24341,"Albertse, Louis"
0,United States,USA,21235,"Albertson, Anders"
0,Netherlands,NED,16496,"Albertus, Max"
0,United States,USA,11677,"Aldridge, Tyler"
0,United States,USA,14002,"Alexander, Tyson"
0,United States,USA,29152,"Alford, Ryan"
0,India,IND,2017,"Ali, Feroz"
0,Bahrain,BRN,30582,"Alkaabi, Khalifa"
0,New Zealand,NZL,4871,"Alker, Steven"
0,Bahrain,BRN,26093,"Alkowari, Ali"
1,Qatar,QAT,24543,"Alkuwari, Jaham"
0,England,ENG,18778,"Allan, James"
0,Australia,AUS,5697,"Allan, Stephen"
0,Canada,CAN,13850,"Allenby, James"
0,Australia,AUS,4949,"Allenby, Robert"
0,United States,USA,27560,"Alligood, Andrew"
0,Turkey,TUR,18051,"Altuntas, Ali"
0,Chile,CHI,12547,"Alvarado, Benjamin"
0,Colombia,COL,19461,"Alvarez, Felipe"
1,Puerto Rico,PUR,12764,"Alverio, Max"
0,France,FRA,28592,"Amat, Bastien"
0,unknown,unknown,10058297,"Amin, Paresh"
0,Zimbabwe,ZIM,18286,"Amm, David"
0,Korea - Republic of,KOR,14459,"An, Byeong Hun"
1,India,IND,32006,"Anand, Vinamra"
0,Mexico,MEX,18238,"Ancer, Abraham"
0,Denmark,DEN,20158,"Andersen, Jeppe Kristian"
0,United States,USA,23540,"Andersen, Mason"
0,United States,USA,29828,"Anderson, Cole"
0,United States,USA,12131,"Anderson, Mark"
0,Canada,CAN,26617,"Anderson, Matthew"
0,England,ENG,28677,"Anderson, Samuel"
0,United States,USA,708,"Andrade, Billy"
0,United States,USA,22770,"Andrews, Bo"
0,Singapore,SIN,29123,"Ang, Ryan"
0,Spain,ESP,19634,"Angles, Pep"
0,United States,USA,19029,"Anguiano, Mark"
0,United States,USA,31382,"Angus, Nate"
