dg_id,driving_accuracy,driving_distance,sg_approach,sg_around_green,sg_off_the_tee,sg_putting,sg_total,last_updated
18417,0.075,6.342,1.391,0.281,0.909,0.412,2.993,2025-05-26 16:59:02 UTC
19841,-0.006,27.351,0.414,0.233,1.503,0.323,2.474,2025-05-26 16:59:02 UTC
19195,0.032,14.891,0.587,0.377,1.016,0.231,2.211,2025-05-26 16:59:02 UTC
10091,-0.036,21.097,0.65,0.209,0.776,0.378,2.013,2025-05-26 16:59:02 UTC
18079,-0.014,17.134,0.754,0.053,0.735,0.208,1.75,2025-05-26 16:59:02 UTC
14139,-0.025,8.279,0.771,0.4,0.192,0.34,1.703,2025-05-26 16:59:02 UTC
12294,0.066,-0.088,0.729,0.368,0.427,0.151,1.675,2025-05-26 16:59:02 UTC
22085,0.099,-2.131,0.752,0.158,0.501,0.223,1.634,2025-05-26 16:59:02 UTC
17576,0.084,0.057,0.753,0.028,0.652,0.122,1.555,2025-05-26 16:59:02 UTC
19895,-0.027,11.454,0.714,0.169,0.371,0.293,1.548,2025-05-26 16:59:02 UTC
15466,0.007,7.166,0.734,0.095,0.519,0.156,1.504,2025-05-26 16:59:02 UTC
13900,0.052,-0.587,0.754,0.2,0.364,0.05,1.369,2025-05-26 16:59:02 UTC
17606,0.086,0.017,0.637,0.12,0.606,-0.007,1.356,2025-05-26 16:59:02 UTC
14796,0.021,3.597,0.557,0.233,0.336,0.166,1.293,2025-05-26 16:59:02 UTC
13872,0.036,5.499,0.643,0.21,0.493,-0.106,1.24,2025-05-26 16:59:02 UTC
17511,0.075,-3.119,0.77,-0.096,0.339,0.225,1.238,2025-05-26 16:59:02 UTC
13562,-0.005,2.609,0.62,0.33,0.143,0.138,1.23,2025-05-26 16:59:02 UTC
18554,0.123,-9.653,0.643,0.121,0.432,0.014,1.209,2025-05-26 16:59:02 UTC
17536,0.04,3.073,0.603,-0.023,0.477,0.133,1.191,2025-05-26 16:59:02 UTC
24968,0.011,1.172,0.445,0.186,0.238,0.306,1.175,2025-05-26 16:59:02 UTC
23323,0.013,2.831,0.486,0.127,0.356,0.178,1.146,2025-05-26 16:59:02 UTC
17064,-0.014,7.765,-0.015,0.185,0.531,0.424,1.125,2025-05-26 16:59:02 UTC
14609,0.062,-2.556,0.498,0.256,0.259,0.096,1.11,2025-05-26 16:59:02 UTC
18841,0.019,6.909,0.713,-0.157,0.413,0.131,1.1,2025-05-26 16:59:02 UTC
23950,0.004,12.38,0.31,0.039,0.59,0.151,1.09,2025-05-26 16:59:02 UTC
14636,0.017,6.958,0.251,0.192,0.472,0.172,1.087,2025-05-26 16:59:02 UTC
23475,0.006,1.702,0.361,0.308,0.231,0.162,1.062,2025-05-26 16:59:02 UTC
19870,0.027,-4.065,0.186,0.181,0.029,0.664,1.06,2025-05-26 16:59:02 UTC
11676,0.002,7.164,0.503,0.167,0.384,-0.029,1.025,2025-05-26 16:59:02 UTC
14578,0.079,-9.968,0.464,0.275,0.027,0.253,1.019,2025-05-26 16:59:02 UTC
18634,0.007,4.45,0.347,0.129,0.341,0.197,1.015,2025-05-26 16:59:02 UTC
21554,0.053,-5.167,0.31,0.168,0.128,0.379,0.985,2025-05-26 16:59:02 UTC
17780,0.003,11.711,0.408,-0.135,0.647,0.04,0.96,2025-05-26 16:59:02 UTC
17488,0.064,-1.683,-0.119,0.366,0.299,0.397,0.942,2025-05-26 16:59:02 UTC
17365,0.002,10.449,0.394,-0.035,0.539,0.043,0.94,2025-05-26 16:59:02 UTC
14577,0.033,0.638,0.236,0.142,0.269,0.292,0.939,2025-05-26 16:59:02 UTC
10419,0.03,-4.354,0.47,0.202,0.106,0.159,0.936,2025-05-26 16:59:02 UTC
27194,-0.008,1.237,0.08,0.226,0.023,0.596,0.925,2025-05-26 16:59:02 UTC
16841,-0.063,16.251,0.009,0.325,0.29,0.289,0.912,2025-05-26 16:59:02 UTC
19483,-0.012,6.8,-0.149,0.157,0.091,0.811,0.91,2025-05-26 16:59:02 UTC
14735,0.006,5.193,0.235,0.108,0.404,0.152,0.899,2025-05-26 16:59:02 UTC
23841,0.033,3.729,0.468,0.035,0.475,-0.09,0.887,2025-05-26 16:59:02 UTC
17543,-0.001,2.62,0.365,0.2,0.216,0.09,0.872,2025-05-26 16:59:02 UTC
27364,0.014,5.362,0.348,0.198,0.333,-0.018,0.861,2025-05-26 16:59:02 UTC
14838,0.017,-4.302,0.286,0.292,0.009,0.27,0.857,2025-05-26 16:59:02 UTC
20770,0.071,-1.924,0.376,0.021,0.478,-0.019,0.856,2025-05-26 16:59:02 UTC
13412,0.019,2.635,0.361,0.092,0.284,0.099,0.835,2025-05-26 16:59:02 UTC
26096,0.023,-2.833,0.347,-0.042,0.052,0.444,0.801,2025-05-26 16:59:02 UTC
17646,0.009,1.36,0.241,0.179,0.15,0.217,0.787,2025-05-26 16:59:02 UTC
9771,-0.007,0.936,0.127,0.248,0.05,0.344,0.769,2025-05-26 16:59:02 UTC
14502,0.013,-0.417,0.295,0.133,0.163,0.176,0.768,2025-05-26 16:59:02 UTC
28984,-0.048,15.635,-0.007,-0.133,0.57,0.33,0.76,2025-05-26 16:59:02 UTC
18474,0.026,3.913,0.17,0.13,0.36,0.077,0.737,2025-05-26 16:59:02 UTC
18586,0.054,1.957,0.241,-0.11,0.543,0.058,0.732,2025-05-26 16:59:02 UTC
29767,0.019,0.587,0.354,0.121,0.219,0.011,0.705,2025-05-26 16:59:02 UTC
6430,-0.015,6.961,0.166,0.138,0.279,0.09,0.673,2025-05-26 16:59:02 UTC
19428,0.009,5.006,0.516,0.033,0.349,-0.234,0.663,2025-05-26 16:59:02 UTC
20706,-0.011,3.951,0.11,0.406,0.148,-0.002,0.663,2025-05-26 16:59:02 UTC
15556,-0.022,1.356,0.082,0.3,-0.11,0.378,0.651,2025-05-26 16:59:02 UTC
22760,0.009,-2.762,0.271,0.109,0.026,0.24,0.647,2025-05-26 16:59:02 UTC
32330,0.016,9.626,0.23,-0.189,0.602,0.0,0.643,2025-05-26 16:59:02 UTC
23604,-0.045,12.294,0.019,0.244,0.187,0.192,0.642,2025-05-26 16:59:02 UTC
17881,0.004,9.095,0.336,-0.052,0.442,-0.106,0.621,2025-05-26 16:59:02 UTC
21756,-0.015,-0.647,0.353,0.143,-0.157,0.282,0.62,2025-05-26 16:59:02 UTC
23838,-0.055,16.4,0.145,-0.005,0.338,0.137,0.615,2025-05-26 16:59:02 UTC
21891,-0.03,10.923,0.326,0.122,0.337,-0.175,0.609,2025-05-26 16:59:02 UTC
27774,-0.062,16.304,0.064,0.07,0.474,-0.001,0.607,2025-05-26 16:59:02 UTC
21944,-0.024,7.084,0.086,0.229,0.162,0.129,0.606,2025-05-26 16:59:02 UTC
25569,-0.008,4.98,-0.055,0.245,0.093,0.307,0.589,2025-05-26 16:59:02 UTC
11276,0.002,-0.117,0.208,0.108,0.067,0.205,0.587,2025-05-26 16:59:02 UTC
18103,0.033,-9.202,0.124,0.245,-0.211,0.393,0.552,2025-05-26 16:59:02 UTC
8825,0.052,-7.019,0.209,0.105,0.0,0.236,0.55,2025-05-26 16:59:02 UTC
23465,-0.047,7.996,-0.015,0.089,-0.075,0.548,0.547,2025-05-26 16:59:02 UTC
24550,0.046,-0.575,0.504,0.016,0.369,-0.344,0.546,2025-05-26 16:59:02 UTC
25908,-0.052,6.362,-0.043,0.11,0.098,0.357,0.522,2025-05-26 16:59:02 UTC
16394,-0.052,6.641,0.285,0.185,-0.144,0.181,0.507,2025-05-26 16:59:02 UTC
7399,0.079,-9.149,0.481,0.109,0.045,-0.13,0.505,2025-05-26 16:59:02 UTC
14459,-0.059,11.266,0.177,0.161,0.259,-0.093,0.504,2025-05-26 16:59:02 UTC
11889,-0.037,6.779,0.252,0.051,0.218,-0.02,0.501,2025-05-26 16:59:02 UTC
15676,-0.051,20.022,-0.066,-0.21,0.631,0.142,0.497,2025-05-26 16:59:02 UTC
28635,0.046,-5.27,0.114,0.067,0.132,0.183,0.496,2025-05-26 16:59:02 UTC
22322,0.024,8.367,-0.19,0.008,0.632,0.046,0.495,2025-05-26 16:59:02 UTC
14424,-0.075,17.488,0.2,0.04,0.356,-0.114,0.482,2025-05-26 16:59:02 UTC
29433,-0.025,0.318,-0.038,0.092,-0.084,0.501,0.472,2025-05-26 16:59:02 UTC
15856,-0.071,0.725,-0.16,0.48,-0.41,0.556,0.466,2025-05-26 16:59:02 UTC
20722,-0.031,9.299,0.208,-0.167,0.165,0.244,0.45,2025-05-26 16:59:02 UTC
